COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
APY200-SSP-02184-SSP-20235	20235 - APY200-SSP - Introduction to Forensic Anthropology (EXP) (Summer 2023)	APY200-SSP-02184-SSP-20235		UOML					01/01/2000	01/01/2100																	c00337215			
APY202-P-02800-1-20238	20238 - APY202-P - Principles of Cultural Anthropology (Fall 2023)	APY202-P-02800-1-20238		UOML					01/01/2000	01/01/2100																	c00002876			
APY203-D-01922-1-20238	20238 - APY203-D - Principles of Physical Anthropology (Fall 2023)	APY203-D-01922-1-20238		UOML					01/01/2000	01/01/2100																	c23687662			
APY204-E-02801-1-20238	20238 - APY204-E - Principles of Linguistic Anthropology (Fall 2023)	APY204-E-02801-1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
APY205-Y-01458-5W1-20235	20235 - APY205-Y & Y1 - MERGED Medicine and Health Care in Society (Summer 2023)	APY205-Y-01458-5W1-20235		UOML					01/01/2000	01/01/2100																	dcieonline.coursemaster,c00649240,c05565774,c11320569			
APY205-Y-02375-5W2-20235	20235 - APY205-Y - Medicine and Health Care in Society (Summer 2023)	APY205-Y-02375-5W2-20235		UOML					01/01/2000	01/01/2100																	c00649240			
APY205-Y1-01459-5W1-20235	20235 - APY205-Y1 - Medicine and Health Care in Society (Summer 2023)	APY205-Y1-01459-5W1-20235		UOML					01/01/2000	01/01/2100																	dcieonline.coursemaster,c05565774,c00649240			
APY205-Y1-02376-5W2-20235	20235 - APY205-Y1 - Medicine and Health Care in Society (Summer 2023)	APY205-Y1-02376-5W2-20235		UOML					01/01/2000	01/01/2100																	c00649240			
APY205-Y1-14847-1-20238	20238 - APY205-Y1 - Medicine and Health Care in Society (Fall 2023)	APY205-Y1-14847-1-20238		UOML					01/01/2000	01/01/2100																	c11320569,dcieonline.coursemaster			
APY205-Y-14846-1-20238	20238 - APY205-Y/Y1- MERGED - Medicine and Health Care in Society (Fall 2023)	APY205-Y-14846-1-20238		UOML					01/01/2000	01/01/2100																	c11320569,dcieonline.coursemaster			
APY310-F-14745-1-20238	20238 - APY310-F - Primate Behavior and Adaptation (Fall 2023)	APY310-F-14745-1-20238		UOML					01/01/2000	01/01/2100																	c23687662			
APY311-R-14746-1-20238	20238 - APY311-R - Cuba Culture, History, and Society (Fall 2023)	APY311-R-14746-1-20238		UOML					01/01/2000	01/01/2100																	c23838017			
